"21/01/18, 11:59"
"17/01/18, 11:56"
"16/01/18, 21:12"
"16/01/18, 16:38"
"10/01/18, 17:23"
"10/01/18, 17:23"
"10/01/18, 12:59"
"10/01/18, 12:59"
"10/01/18, 12:44"
"10/01/18, 12:44"
"4/01/18, 14:35"
"4/01/18, 14:34"
"3/01/18, 21:17"
"3/01/18, 21:17"
"3/01/18, 16:13"
"3/01/18, 16:13"
"23/12/17, 12:09"
"23/12/17, 12:07"
"23/12/17, 12:07"
"22/12/17, 15:19"
"20/12/17, 21:06"
"18/12/17, 17:16"
"15/12/17, 20:36"
"15/12/17, 20:36"
"15/12/17, 20:36"
"15/12/17, 20:35"
"15/12/17, 20:35"
"15/12/17, 20:35"
"14/12/17, 14:44"
"14/12/17, 11:58"
"13/12/17, 16:50"
"13/12/17, 14:40"
"13/12/17, 14:40"
"13/12/17, 14:39"
"12/12/17, 21:12"
"12/12/17, 10:28"
"12/12/17, 10:28"
"12/12/17, 10:28"
"12/12/17, 10:28"
"12/12/17, 10:28"
"12/12/17, 10:28"
"11/12/17, 21:06"
"10/12/17, 18:52"
"3/12/17, 11:20"
"3/12/17, 11:20"
"3/12/17, 11:17"
"2/12/17, 13:07"
"2/12/17, 13:07"
"2/12/17, 13:07"
"2/12/17, 13:00"
"2/12/17, 12:58"
"2/12/17, 12:58"
"2/12/17, 12:58"
"2/12/17, 12:58"
"1/12/17, 09:19"
"1/12/17, 09:19"
"1/12/17, 09:19"
"1/12/17, 09:19"
"1/12/17, 09:19"
"1/12/17, 09:19"
"1/12/17, 09:18"
"1/12/17, 09:18"
"26/11/17, 11:21"
"26/11/17, 09:45"
"26/11/17, 09:45"
"24/11/17, 16:59"
"24/11/17, 16:51"
"24/11/17, 16:51"
"24/11/17, 16:51"
"24/11/17, 10:02"
"24/11/17, 10:02"
"24/11/17, 10:01"
"24/11/17, 10:01"
"24/11/17, 10:01"
"24/11/17, 10:01"
"24/11/17, 10:01"
"23/11/17, 10:00"
"23/11/17, 09:57"
"23/11/17, 09:57"
"23/11/17, 09:56"
"23/11/17, 09:56"
"23/11/17, 09:56"
"23/11/17, 09:56"
"23/11/17, 09:55"
"23/11/17, 09:55"
"23/11/17, 09:54"
"23/11/17, 09:54"
"23/11/17, 09:54"
"23/11/17, 09:54"
"20/11/17, 20:42"
"20/11/17, 20:42"
"20/11/17, 20:41"
"20/11/17, 20:41"
"20/11/17, 20:41"
"20/11/17, 20:41"
"20/11/17, 20:41"
"20/11/17, 20:41"
"20/11/17, 20:41"
"20/11/17, 20:41"
"20/11/17, 20:40"
"20/11/17, 20:40"
"17/11/17, 17:48"
"17/11/17, 17:48"
"14/11/17, 12:58"
"14/11/17, 12:58"
"14/11/17, 12:49"
"14/11/17, 12:37"
"14/11/17, 12:36"
"14/11/17, 12:36"
"14/11/17, 12:36"
"14/11/17, 12:36"
"14/11/17, 12:36"
"14/11/17, 12:36"
"14/11/17, 12:36"
"14/11/17, 12:36"
"12/11/17, 17:29"
"12/11/17, 17:29"
"12/11/17, 17:28"
"12/11/17, 17:28"
"10/11/17, 10:28"
"10/11/17, 10:28"
"10/11/17, 10:26"
"10/11/17, 10:26"
"7/11/17, 12:05"
"7/11/17, 12:05"
"7/11/17, 12:05"
"7/11/17, 12:04"
"7/11/17, 12:04"
"7/11/17, 12:04"
"5/11/17, 11:15"
"5/11/17, 11:15"
"5/11/17, 11:15"
"5/11/17, 11:15"
"5/11/17, 11:15"
"5/11/17, 11:15"
"5/11/17, 11:15"
"5/11/17, 11:15"
"5/11/17, 11:14"
"5/11/17, 11:14"
"3/11/17, 09:50"
"3/11/17, 09:50"
"3/11/17, 09:50"
"3/11/17, 09:50"
"3/11/17, 09:50"
"3/11/17, 09:50"
"3/11/17, 09:50"
"3/11/17, 09:49"
"30/10/17, 11:14"
"30/10/17, 11:13"
"30/10/17, 11:13"
"30/10/17, 11:12"
"30/10/17, 11:12"
"30/10/17, 11:12"
"30/10/17, 11:11"
"28/10/17, 12:08"
"28/10/17, 12:08"
"28/10/17, 12:08"
"28/10/17, 12:08"
"27/10/17, 10:06"
"27/10/17, 10:06"
"27/10/17, 10:04"
"27/10/17, 10:04"
"25/10/17, 09:19"
"25/10/17, 09:19"
"25/10/17, 09:19"
"25/10/17, 09:19"
"25/10/17, 09:17"
"25/10/17, 09:17"
"22/10/17, 19:07"
"22/10/17, 19:06"
"22/10/17, 19:06"
"22/10/17, 19:06"
"22/10/17, 19:04"
"22/10/17, 19:04"
"22/10/17, 19:04"
"22/10/17, 19:03"
"19/10/17, 21:35"
"19/10/17, 21:35"
"19/10/17, 21:35"
"19/10/17, 21:35"
"18/10/17, 11:19"
"18/10/17, 11:19"
"17/10/17, 21:17"
"17/10/17, 21:17"
"17/10/17, 21:16"
"17/10/17, 21:16"
"17/10/17, 17:22"
"17/10/17, 17:22"
"17/10/17, 17:18"
"17/10/17, 17:18"
"14/10/17, 16:09"
"14/10/17, 16:09"
"14/10/17, 16:09"
"14/10/17, 16:09"
"14/10/17, 16:08"
"14/10/17, 16:08"
"7/10/17, 14:24"
"7/10/17, 14:24"
"6/10/17, 19:31"
"6/10/17, 19:31"
"6/10/17, 19:31"
