"30/09/18, 18:30"
"16/09/18, 14:03"
"16/09/18, 14:02"
"15/09/18, 23:40"
"15/09/18, 23:40"
"15/09/18, 23:40"
"15/09/18, 23:40"
"5/03/18, 20:50"
"5/03/18, 20:50"
"13/02/18, 13:20"
"13/02/18, 13:20"
"7/02/18, 19:34"
"7/02/18, 19:33"
"7/02/18, 18:05"
"7/02/18, 18:05"
"7/02/18, 18:04"
"7/02/18, 18:04"
"7/02/18, 17:22"
"7/02/18, 17:22"
"7/02/18, 11:31"
"7/02/18, 11:26"
"7/02/18, 11:26"
"7/02/18, 11:14"
"7/02/18, 11:12"
"6/02/18, 19:16"
"6/02/18, 19:16"
"6/02/18, 10:51"
"6/02/18, 10:50"
"29/01/18, 21:11"
"29/01/18, 21:10"
"29/01/18, 21:10"
"29/01/18, 21:10"
"29/01/18, 21:10"
"29/01/18, 21:07"
"29/01/18, 21:07"
"11/01/18, 08:39"
"10/01/18, 09:56"
"10/01/18, 09:37"
"10/01/18, 09:36"
"10/01/18, 09:36"
"10/01/18, 09:36"
"10/01/18, 09:36"
"10/01/18, 09:36"
"10/01/18, 09:36"
"10/01/18, 09:35"
"9/01/18, 20:07"
"9/01/18, 20:07"
"9/01/18, 20:06"
"2/01/18, 23:27"
"2/01/18, 23:27"
"11/12/17, 18:23"
"11/12/17, 18:23"
"11/12/17, 01:05"
"11/12/17, 01:05"
"11/12/17, 01:05"
"11/12/17, 01:05"
"11/12/17, 01:05"
"11/12/17, 01:05"
"30/11/17, 19:05"
"30/11/17, 19:05"
"30/11/17, 19:05"
"30/11/17, 19:05"
"30/11/17, 19:04"
"30/11/17, 19:04"
"29/11/17, 01:14"
"29/11/17, 01:14"
"29/11/17, 01:14"
"29/11/17, 01:13"
"29/11/17, 01:13"
"29/11/17, 01:13"
"29/11/17, 01:13"
"29/11/17, 01:12"
"29/11/17, 01:12"
"29/11/17, 01:12"
"26/11/17, 17:26"
"26/11/17, 17:26"
"26/11/17, 17:26"
"26/11/17, 17:26"
"26/11/17, 17:25"
"26/11/17, 17:25"
"26/11/17, 17:24"
"26/11/17, 17:24"
"26/11/17, 16:32"
"26/11/17, 16:32"
"26/11/17, 16:32"
"26/11/17, 16:26"
"26/11/17, 16:26"
"14/11/17, 13:59"
"14/11/17, 13:58"
"14/11/17, 13:58"
"14/11/17, 13:57"
"14/11/17, 13:56"
"18/10/17, 23:54"
"18/10/17, 23:53"
"18/10/17, 23:53"
"18/10/17, 23:53"
"18/10/17, 23:52"
"18/10/17, 23:51"
"18/10/17, 23:51"
"17/10/17, 03:13"
"17/10/17, 03:13"
