"24/01/18, 18:34"
"21/01/18, 12:22"
"18/01/18, 10:13"
"14/01/18, 11:54"
"12/01/18, 18:23"
"11/01/18, 09:06"
"11/01/18, 09:06"
"10/01/18, 10:40"
"10/01/18, 10:13"
"10/01/18, 10:13"
"10/01/18, 00:04"
"10/01/18, 00:02"
"10/01/18, 00:01"
"10/01/18, 00:01"
"9/01/18, 17:34"
"9/01/18, 17:33"
"9/01/18, 15:41"
"9/01/18, 11:59"
"9/01/18, 11:59"
"9/01/18, 11:59"
"9/01/18, 11:59"
"9/01/18, 11:13"
"9/01/18, 11:11"
"9/01/18, 11:07"
"8/01/18, 21:27"
"8/01/18, 21:27"
"8/01/18, 21:16"
"8/01/18, 21:14"
"8/01/18, 11:37"
"8/01/18, 11:35"
"8/01/18, 11:35"
"8/01/18, 11:34"
"8/01/18, 11:33"
"8/01/18, 11:32"
"8/01/18, 11:32"
"7/01/18, 12:49"
"7/01/18, 12:47"
"7/01/18, 12:45"
"7/01/18, 12:42"
"7/01/18, 12:42"
"7/01/18, 12:42"
"7/01/18, 12:42"
"7/01/18, 12:42"
"7/01/18, 12:37"
"7/01/18, 12:37"
"6/01/18, 19:43"
"6/01/18, 19:43"
"6/01/18, 19:42"
"6/01/18, 00:27"
"6/01/18, 00:27"
"3/01/18, 13:25"
"3/01/18, 13:25"
"3/01/18, 13:25"
"2/01/18, 20:44"
"2/01/18, 20:44"
"27/12/17, 10:51"
"27/12/17, 10:51"
"1/12/17, 09:47"
"1/12/17, 09:47"
"30/11/17, 14:04"
"30/11/17, 14:04"
"30/11/17, 11:41"
"30/11/17, 11:41"
"29/11/17, 21:27"
"29/11/17, 21:27"
"28/11/17, 10:48"
"28/11/17, 10:43"
"28/11/17, 10:42"
"28/11/17, 10:42"
"28/11/17, 10:41"
"28/11/17, 10:23"
"28/11/17, 10:23"
"28/11/17, 10:23"
"28/11/17, 10:22"
"28/11/17, 10:22"
"28/11/17, 10:22"
"28/11/17, 10:22"
"28/11/17, 10:22"
"26/11/17, 11:47"
"26/11/17, 11:47"
"27/10/17, 22:18"
"27/10/17, 22:18"
"9/10/17, 23:24"
