"19/01/18, 11:48"
"10/01/18, 21:00"
"10/01/18, 21:00"
"10/01/18, 20:39"
"10/01/18, 20:39"
"10/01/18, 18:36"
"10/01/18, 18:36"
"10/01/18, 18:36"
"10/01/18, 18:36"
"10/01/18, 18:36"
"10/01/18, 18:36"
"10/01/18, 18:30"
"10/01/18, 18:30"
"10/01/18, 18:29"
"10/01/18, 18:29"
"10/01/18, 18:13"
"10/01/18, 18:13"
"10/01/18, 18:10"
"10/01/18, 18:10"
"10/01/18, 18:10"
"10/01/18, 18:10"
"10/01/18, 17:41"
"10/01/18, 17:40"
"10/01/18, 17:40"
"10/01/18, 17:40"
"10/01/18, 17:13"
"10/01/18, 17:13"
"10/01/18, 17:06"
"10/01/18, 16:53"
"10/01/18, 16:53"
"10/01/18, 16:53"
"10/01/18, 16:51"
"10/01/18, 16:51"
"10/01/18, 16:37"
"10/01/18, 16:21"
"10/01/18, 16:18"
"10/01/18, 16:18"
"10/01/18, 16:10"
"10/01/18, 16:10"
"10/01/18, 16:09"
"10/01/18, 16:09"
"10/01/18, 16:08"
"10/01/18, 16:07"
"10/01/18, 16:07"
"10/01/18, 16:07"
"10/01/18, 15:37"
"10/01/18, 15:36"
"10/01/18, 15:36"
"10/01/18, 13:45"
"10/01/18, 13:45"
"10/01/18, 11:57"
"10/01/18, 11:57"
"9/01/18, 22:24"
"9/01/18, 22:24"
"9/01/18, 22:24"
"9/01/18, 21:39"
"9/01/18, 21:22"
"9/01/18, 21:21"
"9/01/18, 21:21"
"9/01/18, 21:17"
"9/01/18, 21:17"
"9/01/18, 21:16"
"9/01/18, 21:16"
"9/01/18, 21:16"
"9/01/18, 21:16"
"9/01/18, 21:15"
"9/01/18, 21:12"
"9/01/18, 15:00"
"9/01/18, 14:47"
"9/01/18, 14:47"
"9/01/18, 14:47"
"9/01/18, 14:47"
"9/01/18, 14:45"
"9/01/18, 14:38"
"9/01/18, 14:38"
"9/01/18, 14:38"
"9/01/18, 14:38"
"6/01/18, 19:11"
"6/01/18, 18:58"
"6/01/18, 18:58"
"2/01/18, 16:36"
"2/01/18, 16:36"
"2/01/18, 16:36"
"2/01/18, 16:36"
"2/01/18, 16:36"
"2/01/18, 14:47"
"2/01/18, 14:47"
"30/11/17, 19:58"
"30/11/17, 19:58"
"30/11/17, 19:58"
"30/11/17, 19:57"
"30/11/17, 19:57"
"30/11/17, 19:53"
"30/11/17, 19:50"
"30/11/17, 19:50"
"30/11/17, 19:49"
"30/11/17, 19:49"
"30/11/17, 19:34"
"30/11/17, 19:34"
"30/11/17, 19:34"
"30/11/17, 19:34"
"30/11/17, 19:34"
"28/11/17, 20:35"
"28/11/17, 20:34"
"28/11/17, 20:34"
"28/11/17, 20:33"
"28/11/17, 20:33"
"28/11/17, 20:33"
"28/11/17, 20:32"
"28/11/17, 20:32"
"28/11/17, 09:32"
"28/11/17, 09:31"
"28/11/17, 09:29"
"28/11/17, 09:22"
"28/11/17, 09:22"
"28/11/17, 09:18"
"28/11/17, 09:17"
"28/11/17, 09:11"
"28/11/17, 09:10"
"27/11/17, 22:07"
"27/11/17, 22:07"
"27/11/17, 22:06"
"27/11/17, 22:06"
"27/11/17, 22:06"
"27/11/17, 22:06"
"27/11/17, 22:02"
"27/11/17, 22:02"
"27/11/17, 22:01"
"27/11/17, 22:01"
"27/11/17, 22:01"
"27/11/17, 22:01"
"27/11/17, 22:01"
"27/11/17, 21:43"
"27/11/17, 21:42"
"27/11/17, 21:40"
"27/11/17, 21:39"
"27/11/17, 21:38"
"27/11/17, 21:38"
"27/11/17, 21:38"
"27/11/17, 21:38"
"27/11/17, 21:37"
"27/11/17, 21:37"
"27/11/17, 21:37"
"27/11/17, 21:37"
"27/11/17, 21:13"
"27/11/17, 21:13"
"27/11/17, 21:13"
"27/11/17, 21:08"
"27/11/17, 21:08"
"27/11/17, 20:49"
"27/11/17, 20:49"
"27/11/17, 20:49"
"27/11/17, 20:48"
"27/11/17, 20:42"
"27/11/17, 20:42"
"27/11/17, 20:42"
"27/11/17, 20:42"
"27/11/17, 20:42"
"27/11/17, 20:42"
"27/11/17, 20:42"
"27/11/17, 20:41"
"27/11/17, 20:34"
"27/11/17, 20:34"
"27/11/17, 20:16"
"27/11/17, 20:16"
"27/11/17, 20:15"
"27/11/17, 20:15"
"27/11/17, 20:15"
"27/11/17, 20:15"
"27/11/17, 20:15"
"27/11/17, 20:10"
"27/11/17, 20:03"
"27/11/17, 20:03"
"27/11/17, 20:02"
"27/11/17, 20:02"
"27/11/17, 20:00"
"27/11/17, 20:00"
"27/11/17, 19:58"
"27/11/17, 19:58"
"27/11/17, 19:45"
"27/11/17, 19:45"
"27/11/17, 19:25"
"27/11/17, 19:24"
"22/11/17, 08:42"
"22/11/17, 08:42"
"22/11/17, 08:41"
"22/11/17, 08:41"
"22/11/17, 08:41"
"22/11/17, 08:39"
"22/11/17, 08:39"
"22/11/17, 08:19"
"22/11/17, 08:19"
"22/11/17, 08:17"
"22/11/17, 08:17"
"22/11/17, 08:13"
"22/11/17, 08:13"
"22/11/17, 07:54"
"22/11/17, 07:54"
"22/11/17, 07:52"
"22/11/17, 07:52"
"22/11/17, 07:52"
"22/11/17, 07:52"
"21/11/17, 22:10"
"21/11/17, 22:10"
"21/11/17, 22:06"
"21/11/17, 22:06"
"21/11/17, 22:06"
"21/11/17, 22:06"
"21/11/17, 22:06"
"21/11/17, 22:06"
"21/11/17, 22:04"
"21/11/17, 22:04"
"21/11/17, 22:00"
"21/11/17, 22:00"
"21/11/17, 21:59"
"21/11/17, 21:59"
"21/11/17, 21:33"
"21/11/17, 21:33"
"21/11/17, 21:19"
"21/11/17, 21:19"
"21/11/17, 21:19"
"21/11/17, 21:19"
"21/11/17, 21:19"
"21/11/17, 21:19"
"19/11/17, 15:41"
"19/11/17, 15:41"
"19/11/17, 15:17"
"19/11/17, 15:17"
"19/11/17, 15:17"
"19/11/17, 15:17"
"19/11/17, 15:12"
"19/11/17, 15:12"
"19/11/17, 15:02"
"19/11/17, 15:02"
"19/11/17, 14:39"
"19/11/17, 14:39"
"19/11/17, 14:38"
"19/11/17, 14:38"
"19/11/17, 14:38"
"19/11/17, 14:38"
"19/11/17, 14:38"
"19/11/17, 14:38"
"19/11/17, 13:33"
"19/11/17, 13:32"
"18/11/17, 14:38"
"18/11/17, 14:38"
"18/11/17, 14:38"
"18/11/17, 14:38"
"18/11/17, 14:22"
"18/11/17, 14:22"
"18/11/17, 14:22"
"18/11/17, 14:22"
"18/11/17, 13:45"
"18/11/17, 13:45"
"18/11/17, 13:41"
"18/11/17, 13:41"
"18/11/17, 13:24"
"18/11/17, 13:24"
"18/11/17, 13:00"
"18/11/17, 13:00"
"18/11/17, 12:36"
"18/11/17, 12:36"
"18/11/17, 12:36"
"18/11/17, 12:32"
"18/11/17, 12:32"
"18/11/17, 12:28"
"18/11/17, 12:28"
"18/11/17, 12:28"
"18/11/17, 12:28"
"18/11/17, 12:27"
"18/11/17, 12:27"
"18/11/17, 12:15"
"18/11/17, 12:05"
"18/11/17, 12:05"
"18/11/17, 12:05"
"18/11/17, 12:04"
"18/11/17, 12:04"
"18/11/17, 11:59"
"18/11/17, 11:59"
"18/11/17, 11:58"
"18/11/17, 11:58"
"18/11/17, 11:57"
"18/11/17, 11:57"
"18/11/17, 11:52"
"18/11/17, 11:52"
"18/11/17, 11:52"
"18/11/17, 11:52"
"9/11/17, 13:38"
"9/11/17, 13:38"
"8/11/17, 08:08"
"8/11/17, 08:08"
"7/11/17, 19:59"
"7/11/17, 19:59"
"7/11/17, 19:59"
"7/11/17, 19:59"
"7/11/17, 19:58"
"7/11/17, 19:58"
"7/11/17, 19:57"
